"Id","Target"
1319,161207.833550229
1320,239270.637433411
1321,183616.757392509
1322,151561.49179486
1323,248389.466724232
1324,170993.208483219
1325,186007.70939904
1326,129931.755007814
1327,98316.6406509678
1328,145407.375787173
1329,185898.127748291
1330,109566.019091386
1331,222829.74149644
1332,171673.159722588
1333,250841.994161445
1334,228005.908347622
1335,224797.849983925
1336,153930.230700996
1337,104444.70814152
1338,79585.2890309173
1339,169098.068196291
1340,199233.26643674
1341,131501.905521754
1342,224381.953714562
1343,293016.864378734
1344,205286.693421255
1345,145704.406685904
1346,240934.920449133
1347,177327.492907651
1348,159208.281883897
1349,157081.882328483
1350,126454.002826947
1351,196929.859342819
1352,266226.023700777
1353,98504.9495106049
1354,328159.273666481
1355,135893.018233753
1356,143458.817825315
1357,127115.011058261
1358,221611.57528869
1359,140452.260514783
1360,142500.456857215
1361,179360.419498276
1362,196712.106677767
1363,111599.434500814
1364,156163.708966218
1365,242200.936968472
1366,127999.539292713
1367,147705.657842915
1368,204747.113428862
1369,166459.850643877
1370,132863.127119355
1371,256142.767326078
1372,176736.428523106
1373,172526.188248304
1374,150833.877931882
1375,162511.430823186
1376,120200.150185012
1377,188890.873402758
1378,118481.457523602
1379,96262.0796098019
1380,165508.619039832
1381,169533.963959975
1382,183627.298188198
1383,247335.095497709
1384,194195.636263676
1385,259450.731111162
1386,156239.524649884
1387,258623.291375555
1388,184079.55347964
1389,175702.193078932
1390,163380.650799236
1391,141998.274333382
1392,141610.18921277
1393,192827.884701039
1394,128129.981464054
1395,203042.822189239
1396,113382.227614656
1397,173563.938179713
1398,196924.109008034
1399,94828.6069948109
1400,166910.422344168
1401,175965.715780048
1402,173243.434543992
1403,154322.718484385
1404,286084.358607345
1405,219756.449778713
1406,235033.364125747
1407,256580.421102898
1408,191469.945550778
1409,107546.543234221
1410,172387.592225975
1411,183159.986298737
1412,197888.952735654
1413,54629.2622512568
1414,144501.548457669
1415,134196.420601341
1416,222796.852675228
1417,282838.683821572
1418,254074.115626124
