Id,Target
1319,197305.26906190484
1320,225902.86011806736
1321,195460.74877938142
1322,203986.74649538987
1323,75241.71637704012
1324,302675.1284851028
1325,191905.4887793732
1326,190729.95388892552
1327,273680.23554680316
1328,199896.139509754
1329,125401.84211609389
1330,139289.68277889624
1331,284367.1587366434
1332,254421.2190605384
1333,126268.33929803208
1334,234090.24278546099
1335,151754.4403042241
1336,219851.6101888687
1337,278250.67271447513
1338,117924.33024571386
1339,175956.49101149355
1340,173704.89771944663
1341,312973.8825979986
1342,154513.63126866668
1343,179061.87860459212
1344,157470.6008222792
1345,196037.01221053096
1346,219106.65581552288
1347,206021.35559057645
1348,165523.3135656642
1349,172202.87039323826
1350,181107.41540511494
1351,106360.38464296733
1352,194705.20820895233
1353,99863.63168788409
1354,254017.08006864422
1355,114399.10840719339
1356,139641.69298244634
1357,138877.55905066646
1358,154462.87755543925
1359,159103.33819985532
1360,220077.08641487296
1361,203048.66327984366
1362,109497.64980773487
1363,288148.33334244625
1364,221678.77296235447
1365,281978.66997975437
1366,196420.79715277554
1367,222315.7659367785
1368,156789.9207649021
1369,126873.08948215436
1370,192530.64542182116
1371,193167.22638193687
1372,205769.32897261519
1373,166730.37560368655
1374,239687.00448810024
1375,250474.14355612465
1376,390412.14222238754
1377,193413.52956092602
1378,170418.2070073355
1379,336053.96108239715
1380,186168.80462355426
1381,188174.33489941014
1382,268627.8925945353
1383,154631.30748823195
1384,347786.23833080323
1385,212092.4665475085
1386,101834.29034163021
1387,69950.77418476391
1388,148008.4967948933
1389,299306.2386864392
1390,153090.10758418022
1391,258885.38360266067
1392,160647.58990062735
1393,46818.31255795485
1394,251965.14990348017
1395,162166.26238102003
1396,120901.5521711945
1397,313549.071004424
1398,118347.20503574035
1399,267880.8773194573
1400,231202.95254760483
1401,123548.38510767858
1402,147464.8119099521
1403,137046.7221275462
1404,114443.8244127738
1405,179024.0836808148
1406,203853.12973813055
1407,135574.25930297447
1408,104799.30971511405
1409,153956.62494204746
1410,323431.4748690398
1411,292822.9403316155
1412,28804.954633118185
1413,139219.38146210407
1414,174211.89366528174
1415,61455.48795734649
1416,122542.09133001204
1417,245676.2024273335
1418,120155.96313728191
1419,151552.55881045462
1420,205939.86134718632
1421,214885.1306228907
1422,140403.07714383682
1423,147505.70531605746
1424,128700.5997978905
1425,160296.43234176846
1426,175920.6717071981
1427,120934.56335157446
1428,137514.0412606422
1429,381024.6129657056
1430,209679.83789769185
1431,207585.21533087592
1432,84361.11136814229
1433,157195.84533661228
1434,104014.75591459115
1435,196213.506458478
1436,163326.34551492234
1437,83244.0246504561
1438,194447.93767920905
1439,155390.3116637822
1440,104617.26522711889
1441,104179.91876984006
1442,149745.37768724703
1443,120166.0027834237
1444,274625.8907951509
1445,249771.64714656983
1446,136557.6476395339
1447,202213.97263711583
1448,246361.48574452964
1449,155502.18466405515
1450,254889.6228208038
1451,188436.77050406107
1452,122410.04731594992
1453,230380.59415307408
1454,137814.2182336269
1455,149003.26584772248
1456,251747.18842037985
1457,167795.9340855973
1458,99451.21970088157
1459,105155.1950044369
1460,198981.83968008365
1461,213004.16199536104
1462,159968.91705960518
1463,290124.47661051
1464,235746.35278827755
1465,263303.0200562468
1466,202391.58701834243
1467,54881.688604511
1468,188018.3763872863
1469,305102.561045737
1470,79596.83463709099
1471,165846.3014813814
1472,179909.04456996432
1473,134093.08644549747
1474,82848.12703234194
1475,166459.28835989363
1476,161192.3708578842
1477,96333.45296133855
1478,304477.59096004383
1479,58113.55318820086
1480,193613.15510027026
1481,114266.12820878849
1482,209314.53545692973
1483,72762.46573549279
1484,198700.57838915166
1485,377277.3649000147
1486,153046.9785759876
1487,130020.590144507
1488,196258.36746811098
1489,171297.61486404797
1490,480055.0762497522
1491,122179.09724389738
1492,112335.86623596631
1493,278735.261598011
1494,169958.01954178605
1495,152429.15146328355
1496,125611.24816707749
1497,384463.25735347305
1498,131280.1446737858
1499,149926.4940781863
1500,111816.93514944705
1501,100277.39665491272
1502,288328.1431916385
1503,204206.6807864296
1504,116561.49919033819
1505,193311.0363812942
1506,183551.17015267152
1507,198259.79984509962
1508,178529.01067663197
1509,220103.30291648282
1510,112051.52831509481
1511,525695.9943042941
1512,141947.15911021992
1513,131869.63725977522
1514,186845.01463723573
1515,187825.90026721163
1516,153182.51318548908
1517,153209.6637196707
1518,208197.45413608066
1519,259593.1088245081
1520,106907.03815679032
1521,177478.6380358747
1522,127991.65494070372
1523,111190.25058698181
1524,104433.84327397391
1525,200842.07159130668
1526,353001.37994823715
1527,142022.94248029313
1528,160560.54574478138
1529,130548.13690545993
1530,72523.56214190352
1531,206448.2855347417
1532,93240.95623954132
1533,239465.89212784922
1534,130516.19268729928
1535,97158.60676397734
1536,153142.89052367813
1537,62118.404462176695
1538,344096.3588250098
1539,198983.11485302766
1540,155647.45521388022
1541,122014.62706100558
1542,128562.073267011
1543,135133.06381215746
1544,114044.76416718068
1545,152348.9842944932
1546,100345.6591153878
1547,208532.36917574532
1548,180401.86163066197
1549,225749.41631546227
1550,101731.5288132385
1551,221156.00581263384
1552,181131.79398800698
1553,217842.47651619924
1554,160713.00315165738
1555,279110.70973192534
1556,99928.69890458185
1557,210956.74123949427
1558,277193.5238146552
1559,197411.59505279094
1560,267438.5320238564
1561,132705.99088341108
1562,134624.83738625454
1563,156891.28283191286
1564,124733.73885561046
1565,222393.12903632372
1566,249631.75411710574
1567,156792.81852186433
1568,237225.5011165149
1569,279694.1833231403
1570,98256.17510955734
1571,90849.97012198906
